ts,market_id,market_title,deadline,user,bet_amount,outcome,odds_yes_estimate,date
2025-08-15 00:13:00,5,Ice Spice x Tyler live performance?,2025-09-14,0xe47801cb13b0469f075e4c1e9a7ea44cab0c5b67,9.31,1,0.43610364193881473,2025-08-15
2025-08-15 00:14:00,1,Nicki surprise collab by Oct 31?,2025-09-04,0x5ad39cb99c04df04e0e6cdd892c617f96d5efe4e,7.1,1,0.41126145626624194,2025-08-15
2025-08-15 00:17:00,4,Ye IG ban this month?,2025-09-09,0x1d77cfe8bdf2d257bcb84263d25a31be1fe4016b,4.68,1,0.43093583207576824,2025-08-15
2025-08-15 00:30:00,4,Ye IG ban this month?,2025-09-09,0x0ef2d856c57c6f616c0ede0c5275cb01d635b7d1,1.0,1,0.43093583207576824,2025-08-15
2025-08-15 00:34:00,2,Travis album drop before Dec?,2025-09-24,0x9be72cd67f16cd6c619a9da527bb380687252432,4.92,0,0.5174541399940887,2025-08-15
2025-08-15 00:45:00,2,Travis album drop before Dec?,2025-09-24,0x9a1d85f3311a1f776a70097af52e27d558ed2206,10.23,1,0.5174541399940887,2025-08-15
2025-08-15 00:50:00,2,Travis album drop before Dec?,2025-09-24,0x4bd8f5f871409f734f7576c87d92fdfa5542f57b,2.72,1,0.5174541399940887,2025-08-15
2025-08-15 00:51:00,5,Ice Spice x Tyler live performance?,2025-09-14,0xe57fb8c3dc6c45ac62b9ea8a29330c38b802c3ce,32.67,1,0.43610364193881473,2025-08-15
2025-08-15 00:51:00,2,Travis album drop before Dec?,2025-09-24,0xdf57fcdb521476c386f08a2b8aafd1ef328134c4,1.07,1,0.5174541399940887,2025-08-15
2025-08-15 01:01:00,5,Ice Spice x Tyler live performance?,2025-09-14,0x13f849f4f55f978d5bb9c70eb4516f2e3c122142,2.19,1,0.43610364193881473,2025-08-15
2025-08-15 01:02:00,2,Travis album drop before Dec?,2025-09-24,0xe3cfea6a9bfbf3b261b5ca0ea638117bf6e8e08d,9.5,0,0.5174541399940887,2025-08-15
2025-08-15 01:02:00,4,Ye IG ban this month?,2025-09-09,0x8aca0941cf2e59dec51edb14da14fec576250af5,4.97,1,0.43093583207576824,2025-08-15
2025-08-15 01:12:00,2,Travis album drop before Dec?,2025-09-24,0xe48aaaca73969de7da4698b675771a1dbb522524,32.93,0,0.5174541399940887,2025-08-15
2025-08-15 01:16:00,4,Ye IG ban this month?,2025-09-09,0x81265c48612e4dfeffb519c4c21147f7cee9b006,3.64,0,0.43093583207576824,2025-08-15
2025-08-15 01:16:00,4,Ye IG ban this month?,2025-09-09,0x8992d7694c2170fb76a0118cecd89a4dded19351,13.52,0,0.43093583207576824,2025-08-15
2025-08-15 01:25:00,4,Ye IG ban this month?,2025-09-09,0xbaf457fcacb7e72217ab00253ef6d22651ef0d4d,3.44,0,0.43093583207576824,2025-08-15
2025-08-15 01:27:00,4,Ye IG ban this month?,2025-09-09,0x26e878542870badbdb9b4fc596934c75ef3a7ebf,28.91,0,0.43093583207576824,2025-08-15
